Name,Locked,Org,Status,Type,Water,Compost,Features,Seasonal,Animals,Address,Food Producing,Com_Gard,Dormant,Latitude,Longitude,Address,Ownership,Oth_org,Website,Facebook,Fenced,Descript,Ward,CCA,Contact,Image,City
Vaughn Occupational High School (Jacqueline B.),,,,"School Garden, Ornamental / Beautification, Habitat / Conservation / Prairie",,No,,,,4355 N Linder Ave,Yes,No,No,41.9602399,-87.7644328,4355 N Linder Ave,,,,,,,38,PORTAGE PARK,,,Chicago
Vick Early Childhood & Family Center Garden (Barbara),,,,"School Garden, Ornamental / Beautification",,No,,,,2554 West 113th St,No,No,No,41.6881171,-87.6856317,2554 West 113th St,,,,,,,19,MORGAN PARK,,,Chicago
Volta Elementary School,No,Gardeneers,,"Food Donation, School Garden",,No,,,,"4950 N Avers Ave, Chicago, IL 60625",Yes,No,No,41.9714279,-87.7250431,"4950 N Avers Ave, Chicago, IL 60625",Chicago Public Schools,Healthy Roots Raised Bed Gardens,http://www.volta.cps.k12.il.us/,N,No,,39,ALBANY PARK,,https://www.facebook.com/gardeneers/photos/pcb.294614707375312/294614304042019/?type=1&theater,Chicago
Wacker Elementary School (Charles H.),,,,School Garden,,No,,,,9746 S Morgan St,No,No,No,41.7162577,-87.6482976,9746 S Morgan St,,,,,,,21,WASHINGTON HEIGHTS,,,Chicago
Walsh Elementary School Garden (John A.),,,,,,No,,,,2031 S Peoria St Chicago IL,No,No,No,41.8549266,-87.6481833,2031 S Peoria St Chicago IL,,,,,,,25,LOWER WEST SIDE,,,Chicago
Ward Elementary School (James) - Cabbage Patch Kids,No,,,"School Garden, Ornamental / Beautification",No apparent water source,No,,,,2700 S Shields,No,No,No,41.8439947,-87.6354766,2700 S Shields,,,,,No,,11,ARMOUR SQUARE,,,Chicago
Ward Elementary School (Laura S.),,The Kitchen Community,,School Garden,,No,,,,646 N Lawndale Ave Chicago IL,Yes,No,No,41.8931162,-87.7188542,646 N Lawndale Ave Chicago IL,Chicago Public Schools,,,,,,27,HUMBOLDT PARK,,,Chicago
Washington Elementary (Harold),,,,"School Garden, Ornamental / Beautification, Habitat / Conservation / Prairie",,No,,,,9130 S University Ave,Yes,No,No,41.7285417,-87.5966142,9130 S University Ave,,,,,,,8,BURNSIDE,,,Chicago
Washington High School (George),Yes,,Unclear,"School Garden, Ornamental / Beautification",On site water source,No,"Shed / Storage box, Shed / Storage box, Shed / Storage box, Shed / Storage box, Shed / Storage box, Shed / Storage box, Shed / Storage box, Teaching Area, Teaching Area, Teaching Area, Teaching Area, Teaching Area, Teaching Area, Seating Area, Seating Area, Seating Area, Seating Area, Seating Area, Water Feature (ponds, fountain), Water Feature (ponds, fountain), Water Feature (ponds, fountain), Water Feature (ponds, fountain), Washing Area / Sinks, Washing Area / Sinks, Washing Area / Sinks, Grill / Cooking Station, Grill / Cooking Station, Artwork / Sculptures",,,3535 E 114th St,No,No,No,41.687694,-87.5379655,3535 E 114th St,Chicago Public Schools,,,,Yes,There are two gardens within the school which are surrounded by classrooms. The architecture of the school was built including the gardens from the inception. This gardens are more ornamental and sometimes used by the culinary classes for special events.,10,EAST SIDE,George Washington High School Phone: (773) 535-5725,,Chicago
Webster Elementary School (Daniel),,,,School Garden,,No,,,,4055 W Arthington,No,No,No,41.8698221,-87.7273079,4055 W Arthington,,,,,,,24,WEST GARFIELD PARK,,,Chicago
Wells High School (William H.)/ Wildlife Garden,,,,School Garden,,No,,,,936 N Ashland Ave,Yes,No,No,41.899336,-87.6682572,936 N Ashland Ave,,,,,,,1,WEST TOWN,,,Chicago
Wentworth ElementaryÿSchool (Daniel),No,The Kitchen Community,,School Garden,"Irrigation System, On site water source",No,"Artwork / Sculptures, Covered Area, Seating Area, Teaching Area",,,1340 W. 71st Street,Yes,No,No,41.7650064,-87.6579155,1340 W. 71st Street,Chicago Public Schools,,,,No,,17,WEST ENGLEWOOD,,,Chicago
West Park Elementary Academy (Nobel West),,,,,,No,,,,1425 N Tripp Ave Chicago IL,No,No,No,41.9068527,-87.7320853,1425 N Tripp Ave Chicago IL,,,,,,,37,HUMBOLDT PARK,,,Chicago
West Ridge,,,,,,No,,,,6700 N Whipple St,No,No,No,42.002691,-87.7062154,6700 N Whipple St,,,,,,,50,WEST RIDGE,,,Chicago
Westcott Elementary School,No,The Kitchen Community,,School Garden,"Irrigation System, Irrigation System, On site water source",No,"Artwork / Sculptures, Covered Area, Seating Area, Teaching Area, Handicap accessible bed",,,409 W 80th St Chicago IL,Yes,No,No,41.7487119,-87.6357168,409 W 80th St Chicago IL,Chicago Public Schools,,,,Yes,,21,CHATHAM,,,Chicago
Whitney ElementaryÿSchool (Eli),,,,"School Garden, Ornamental / Beautification",,No,,,,2815 S Komensky Ave,No,No,No,41.8400288,-87.7252447,2815 S Komensky Ave,,,,,,,22,SOUTH LAWNDALE,,,Chicago
Woodson South (University of Chicago Charter Middle School),No,The Kitchen Community,,School Garden,"On site water source, Irrigation System",No,"Artwork / Sculptures, Seating Area, Teaching Area",,,4444 S Evans Ave,Yes,No,No,41.8140223,-87.6086873,4444 S Evans Ave,,,,,Yes,,3,GRAND BOULEVARD,,,Chicago
Yates Elementary Schoolÿ(Richard),,,,"School Garden, Ornamental / Beautification, Habitat / Conservation / Prairie",,No,,,,1839 N Richmond St,Yes,No,No,41.9146978,-87.7003531,1839 N Richmond St,,,,,,,35,LOGAN SQUARE,,,Chicago
YCCS Charter - Community Service,,,,"School Garden, Ornamental / Beautification",,No,,,,4651 W Madison Ave,No,No,No,41.8802424,-87.7421303,4651 W Madison Ave,,,,,,,28,AUSTIN,,,Chicago
York Alternative High School Sunshine Garden (Consuella B.),,,,School Garden,,No,,,,2700 S California Ave,Yes,No,No,41.8425353,-87.6970908,2700 S California Ave,,,,,,,12,SOUTH LAWNDALE,,,Chicago
Zapata ElementaryÿAcademy (Emiliano),,,,"School Garden, Ornamental / Beautification",,No,,,,2728 S Kostner,No,No,No,41.8412173,-87.7344897,2728 S Kostner,,,,,,,22,SOUTH LAWNDALE,,,Chicago
"""Art in the Farm"" Urban Agriculture Potager",No,Growing Power,,"Urban Farm, Urban Agriculture Organization, Demo / Training / Program",,,"Artwork / Sculptures, Artwork / Sculptures, Seating Area",,Bees (hives),"Grant Park, E. Congress Parkway & S. Columbus Drive",Yes,No,No,41.8756759,-87.6241725,"Grant Park, E. Congress Parkway & S. Columbus Drive",Chicago Park District,,www.growingpower.org,,No,,2,LOOP,,,Chicago
Altgeld Gardens Farm,,Growing Power,,"Urban Farm, Urban Agriculture Organization",,No,,Hoop house,,"130th Street and Ellis, Chicago",Yes,No,No,41.6593846,-87.5977931,"130th Street and Ellis, Chicago",,,www.growingpower.org,,,,9,RIVERDALE,,,Chicago
Big Delicious Planet,,,,Restaurant / Catering Garden,On site water source,Yes,"Compost System, Washing Area / Sinks, Shed / Storage box, Seating Area",,Bees (hives),412 N Wolcott Ave,Yes,No,No,41.8891784,-87.6749737,412 N Wolcott Ave,Private,,http://www.bigdeliciousplanet.com/our-urban-farm-yields-fresh-edibles-in-chicago/,https://www.facebook.com/pages/BIG-DELICIOUS-PLANET/174522720675,,"We're located in an industrial part of Chicago's West Town, and we're pretty lucky there happened to be two semi-vacant city lots next to our building, which were being used for parking hippie school buses. In March 2012 we leased one lot and hired a garden manager to begin turning that underdeveloped land into what is now our amazing urban farm. In 2013 we expanded to the second adjacent lot.

We're organically growing 85 varieties of vegetables, herbs, fruits and edible flowers in 50 raised beds. In 2013 we harvested almost 4,000 pounds of organically grown vegetables and herbs. Here's just a sampling of what we're growing in the BDP Urban Farm: Tuscan Kale, Swiss Chard, Green Zebra Tomatoes, Rosa Bianca Eggplant, Japanese Edamame, Pattypan Squash, Mixed Greens, Sylvetta Arugula, Purple Haze Carrots, Chioggia Beets, Fingerling Potatoes, Lemon Cucumbers, Sweet Basil, Poblano Peppers, Nasturtium. 

We also have two busy beehives, one of which produced 100 pounds of honey in 2013! Buy our local raw honey in our Canteen!",27,WEST TOWN,312-455-1019,http://static1.squarespace.com/static/5327b3ffe4b0dea732ebb933/53bd562be4b00ad4e0be4ee6/53bd5639e4b07f64b24a4a0f/1404917333363/photo+3.JPG,Chicago
Chicago Department of Aviation's Environmental Initiatives,,,,"Urban Farm, Rooftop",,No,,,,10510 W Zemke Rd,Yes,No,No,41.9959142,-87.8886773,10510 W Zemke Rd,,,http://www.flychicago.com/OHare/EN/AboutUs/Sustainability/Apiary.aspx,,,,41,OHARE,,,Chicago
Chicago FarmWorks,,NeighborSpace,,"Pantry Garden, Food Donation, Urban Farm",,No,,,,407 N Kedzie,Yes,No,No,41.888547,-87.705694,407 N Kedzie,NeighborSpace,,http://www.heartlandalliance.org/whatwedo/our-programs/directory/chicago-farmworks-urban-farm.html,,,"Heartland Human Care Services, Inc. (HHCS) is developing a 2.6 acre urban farm in the East Garfield Park community. Working with the City of Chicago, NeighborSpace, and the Greater Chicago Food Depository (GCFD), HHCS plans to create a productive green use of vacant lots located at Kedzie near Franklin. The urban farm will provide 30 transitional jobs per year to low-income residents overcoming barriers to employment, increase locally grown produce and create environmental benefits. Transitional Jobs participants will complete contextualized literacy training enhancing their literacy skills. HHCS? partnership with local employers supports residents in securing long term unsubsidized employment.",27,HUMBOLDT PARK,,"http://www.whpdevelopmentcouncil.net/uploads/whpdevelopmentcouncil/images/photo2.jpg/photo2-full;size$350,350.ImageHandler",Chicago
Chicago Honey Co-op Green rooftop at Christy Webber Landscaping,,,,Urban Farm,,No,,,,2900 W Ferdinand St,Yes,No,No,41.8902252,-87.6985399,2900 W Ferdinand St,,,http://www.chicagohoneycoop.com/,,,,27,HUMBOLDT PARK,,,Chicago
Chicago Honey Co-op site at Columbus Park,,,,Urban Farm,,No,,,,W. Railroad Ave. & S. Menard Ave.,Yes,No,No,41.870001,-87.769408,W. Railroad Ave. & S. Menard Ave.,,,http://www.chicagohoneycoop.com/,,,,29,AUSTIN,,,Chicago
Chicago Honey Co-op site at Testa Produce,,,,Urban Farm,,No,,,,4555 S Racine Ave,Yes,No,No,41.8106564,-87.6535341,4555 S Racine Ave,,,http://www.chicagohoneycoop.com/,,,,11,NEW CITY,,,Chicago
Chicago Patchwork Farms,,,,Urban Farm,,No,,Cold Tunnel,,"2825 W Chicago Ave, Chicago, IL 60622, USA",Yes,No,No,41.8953879,-87.697763,"2825 W Chicago Ave, Chicago, IL 60622, USA",Private,,http://chicagopatchworkfarms.com,https://www.facebook.com/pages/Chicago-Patchwork-Farms/124919367586089,,"Patchwork Farms is a partnership of two friends, Katie Williams and Molly Medhurst, who share a passion for serving their community by growing and selling delicious and nutritious fruits and vegetables.   We have been friends for 10 years and have lived in Humboldt park for 8.  We started Patchwork Farms as a way to earn a living doing the work we love while producing one of the most fundamental needs for our friends and neighbors?healthy food.  We also have matching tattoos, which we got together :)

From mid-May through October we sell fresh veggies right out of our garden at 2825 W. Chicago Ave (next to Feed Restaurant) during the following hours:

Sundays 2pm ? 5pm

Wednesdays 11pm ? 1pm",26,HUMBOLDT PARK,,http://chicagopatchworkfarms.com/wp-content/uploads/2012/02/2012-11-18-15.35.462.jpg,Chicago
Chicago's Indoor Garden,Yes,,,Urban Farm,,No,,,,4459 W. Division St.,Yes,No,No,41.9022404,-87.7381456,4459 W. Division St.,,,http://chicagoindoorgarden.com/index.html,,,,37,HUMBOLDT PARK,,,Chicago
City Farm Chicago,,,,"Urban Farm, Demo / Training / Program",,Yes,Farm Stand,"Hoop house, Cloche","Chickens, Bees (hives)",1204 N. Clybourn,Yes,No,No,41.9042884,-87.6404712,1204 N. Clybourn,,The Resource Center,http://www.resourcecenterchicago.org/70thfarm.html,https://www.facebook.com/CityFarmChicago,Yes,"City Farm transforms fallow, vacant city land into fertile, productive farmland. We integrate education, land reuse, local investment and jobs, community beautification and healthier agriculture and eating. Our method is successful, it is replicable and it is sustainable.

City Farm produce is available to everyone. To purchase seasonal, local produce you can visit one of our farm stands, located right on the farm, or visit us at one of the many great Chicago Farmers markets we participate in.

Chicago?s chefs have an international reputation for promoting the glory of in-season, locally-sourced produce. We at City Farm are proud to be a part of this community. City Farm produces a wide range of heirloom tomatoes, beets, carrots, turnips, radishes, arugula, salad greens, herbs and more that are available for wholesale ordering.

City Farm and the Resource Center also offer Food-to-Farm compost/food scrap pick-up (we use these to create our compost, the sole growing medium for our crops) and commercial recycling services.",27,NEAR NORTH SIDE,cityfarm@resourcecenterchicago.org,http://www.organicnation.tv/storage/City%20Farm%20Chicago%203.jpg?__SQUARESPACE_CACHEVERSION=1245973116566,Chicago
DePaul Urban Garden,Yes,,,"School Garden, Urban Farm, Demo / Training / Program, Food Donation","Hose connected to private property, Irrigation System, Rain collection system ( rain barrels, cisterns)",Yes,"Artwork / Sculptures, Compost System, Farm Stand, Grill / Cooking Station, Seating Area, Shed / Storage box",,,925 W Belden Ave,Yes,No,No,41.923354,-87.652129,925 W Belden Ave,,,http://dugchicago.blogspot.com,https://www.facebook.com/groups/172126236206845/,Yes,,43,LINCOLN PARK,,,Chicago
Dirt Doll,Yes,,,Urban Farm,,No,,,,4461 South Federal,Yes,No,No,41.8143798,-87.6283112,4461 South Federal,,Brinshore Michaels,http://dirtdoll.tumblr.com,,Yes,,3,GRAND BOULEVARD,,,Chicago
Eat to Live Urban Farm & Garden,No,,Collective,"Urban Farm, Community Garden, Demo / Training / Program, School Garden",City Fire Hydrant,Yes,"Compost System, Information Kiosk",,,7029-35 S. Princeton,Yes,Yes,No,41.766248,-87.631869,7029-35 S. Princeton,NeighborSpace,"Angelic Organics Learning Center, Real Men Charities, Inc., City of Chicago Department of Planning and Development",http://everythinggoode2l.org/,https://www.facebook.com/EatToLiveEnglewoodUrbanGardenAndFarmDevelopment,Yes,"Angelic Organics Learning Center leads the Eat To Live (E2L) project to build a healthy local food system in southeast Englewood. E2L?s Learning Garden and Incubator Farm campus is growing at the intersection of 70th Place with South Princeton Avenue. Neighbors and visitors learn about getting affordable fresh and healthy food, growing and living sustainably in the city, cooking and eating for wellness, and starting urban food and farm enterprises. Through E2L, people make connections among food production, community health, economic resilience, and urban ecology. Join us!   

E2L?s Learning Garden
Since 2011: Neighbors, students, and volunteers are learning to grow intensively and organically in the city, and share healthy food.
- Activities for all ages integrating gardening, urban ecology, cooking, nutrition and wellness
- Food from the Garden is shared with volunteers and donated in the neighborhood.
- E2L introduces people to other ways of getting food like buying clubs and farmers markets.

E2L?s Incubator Farm
Beginning in 2015: The land and resources of the Incubator Farm will support new urban farmers while they grow skills, experience, and market connections to sustain their businesses.
- Shared access to tools, hoophouses and other infrastructure
- Mentoring and farm business coaching
- Farmers at the E2L Incubator Farm may sell directly to local customers, or to nearby stores and restaurants.

COLLABORATION
Contributing their skills and expertise to E2L?s mission, sites, and programs are:
- City of Chicago Department of Planning and Development
- Grow Greater Englewood
- Harvard Elementary School of Excellence
- Healthy Food Hub/Black Oaks Center for Sustainable Renewable Living
- Institute of Women Today: Maria Shelter and Vincennes Senior Center
- Real Men Charities, Inc.",6,GREATER GRAND CROSSING,,https://everythinggoode2l.files.wordpress.com/2013/07/20140610_111608.jpg,Chicago
Eco Rooftop Garden,,,,"Urban Farm, Rooftop",,No,,,,2042 W 21st St,Yes,No,No,41.854238,-87.677628,2042 W 21st St,,,http://www.ecogardens.com/,,,,25,LOWER WEST SIDE,,,Chicago
Eden Place Nature Center,,,,Urban Farm,,No,,,,4417 S Stewart Ave,Yes,No,No,41.8138999,-87.635427,4417 S Stewart Ave,,,http://www.edenplacenaturecenter.org/,,,,3,FULLER PARK,,,Chicago
Greens & Gills,,,,Urban Farm,,No,,,,"1400 W 46th St, Ste 004",Yes,No,No,41.810768,-87.660576,"1400 W 46th St, Ste 004",,,greensandgills.com,,,,3,NEW CITY,,,Chicago
Heirloom Farm (Hull House Museum),Yes,U of I Extension,Collective,Urban Farm,On site water source,No,Educational Signage,,,800 S Halsted St,Yes,No,No,41.8692392,-87.6475562,800 S Halsted St,Private,,http://www.uic.edu/jaddams/hull/_programsevents/_farm/farm.html,,Yes,,25,NEAR WEST SIDE,,https://engagingplaces.files.wordpress.com/2015/06/hull-house-museum-by-brandon-bartoszek_dxopsp.jpg,Chicago
Growing Home's Honore St. Farm,,"NeighborSpace, Growing Home",,"Urban Farm, Urban Agriculture Organization, Demo / Training / Program",,No,,Hoop house,,5840 S Honore St,Yes,No,No,41.787235,-87.670827,5840 S Honore St,NeighborSpace,,www.growinghomeinc.org,https://www.facebook.com/growinghomeinc,,"We have a vision of a world of healthy people and communities. Everyone deserves to have a good job, and everyone deserves to eat well.

Our mission is to operate, demonstrate and promote the use of organic agriculture as a vehicle for job training, employment and community development.

Growing Home is a not for profit social enterprise that operates two certified organic production farms in West Englewood. We use these farms as the base for our hands-on transitional jobs program for people with barriers to employment. Production Assistants (PA's) work and study with us for up to 14 weeks, getting paid for this experience. During this time we work with PA's to prepare them for jobs all along the food chain throughout the Chicago area. In 2014, 87% of our graduates found full-time employment. 

Growing Home began working in Englewood in 2006, developing the city's first, and still only, certified organic farm on a little more than 1/2 acre of land. We added our Honore St. farm next-door in 2011. We now have 1.5 acres of land that we farm, and are looking for new land nearby.

We have been at the forefront of developing Englewood's urban agriculture district. Today there are four urban farms in Englewood, and many community gardens. We are working with partners to promote additional farms for this community that needs and demands food equity and jobs.",15,WEST ENGLEWOOD,info@growinghomeinc.org,"http://www.englewoodportal.org/uploads/englewoodportal/images/growing_home_hoophouse.jpg/image-full;size$350,181.ImageHandler",Chicago
Inspiration Kitchens,,,,Restaurant / Catering Garden,,No,,,,3504 W. Lake Street,Yes,No,No,41.8850168,-87.7140367,3504 W. Lake Street,,,,,,,28,EAST GARFIELD PARK,,,Chicago
Iron St Farm,,Growing Power,,"Urban Farm, Demo / Training / Program, Urban Agriculture Organization",,Yes,Farm Stand,Hoop house,"Goats, Chickens, Fish, Bees (hives)",3333 N Iron St,Yes,No,No,41.8326802,-87.6598467,3333 N Iron St,,,http://www.growingpower.org/chicago_projects.htm,,,,11,MCKINLEY PARK,,,Chicago
Legends Community Garden,Yes,Chicago Botanic Garden,Allotment,"(Assisted) Housing, Urban Farm",,No,,Hoop house,,4450 South Dearborn,Yes,No,No,41.8101133,-87.6271908,4450 South Dearborn,,Brinshore Michaels,https://www.chicagobotanic.org/windycityharvest/,,Yes,,3,GRAND BOULEVARD,,,Chicago
Windy City Harvest Legends Farm,Yes,Chicago Botanic Garden,,"Urban Farm, Demo / Training / Program",,No,,,,4451 South Federal,Yes,Yes,No,41.8144138,-87.6283124,4451 South Federal,Chicago Housing Authority,Brinshore Michaels,https://www.chicagobotanic.org/windycityharvest/,,Yes,"The two-acre urban farm is a collaboration between Windy City Harvest and Brinshore-Michaels, the site developer. Its incubator function is also supported by a USDA National Institute of Food and Agriculture (NIFA) grant. This site reflects a wind-row approach to growing on land that has contamination issues: geotextile fabric covers the site, and compost-filled beds are contained by timbers that keep paths neat. This approach eliminates the need for expensive storm water abatement solutions because rainfall is contained on the site. This site has multiple quarter-acre farm plots, as well as shared-use tool storage, a Good Agricultural Practices-approved wash pack station, and hoophouse propagation space.",3,GRAND BOULEVARD,,http://my.chicagobotanic.org/wp-content/uploads/Legends-Farm-2014-e1420474294289.jpg,Chicago
Moah's Ark,,,,Urban Farm,,Yes,,Hoop house,Chickens,1839 W Touhy Ave,Yes,No,No,42.012241,-87.677456,1839 W Touhy Ave,Private,,https://www.facebook.com/MoahsArk,https://www.facebook.com/MoahsArk,Yes,,49,ROGERS PARK,,https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/t31.0-8/c0.28.851.315/p851x315/472692_410805848941100_190765091_o.jpg,Chicago
Pleasant Farms,,,,Urban Farm,,No,,,,964 West 31st Street,Yes,No,No,41.8380794,-87.6512529,964 West 31st Street,,,http://pleasantfarmschicago.com/,,,,11,BRIDGEPORT,,,Chicago
Pullman Community Apiary,,,,Urban Farm,,No,,,,11057 S Cottage Grove,Yes,No,No,41.693332,-87.6097084,11057 S Cottage Grove,,,http://www.facebook.com/groups/171705946209846/,,,,9,PULLMAN,,,Chicago
Resource Center's Perry Street Farm,,,,Urban Farm,,No,,,,W. 57th St. and S. Perry Ave.,Yes,No,No,41.7909433,-87.6277139,W. 57th St. and S. Perry Ave.,,,http://www.resourcecenterchicago.org/,,,,3,WASHINGTON PARK,,,Chicago
Windy City Harvest Rodeo Farm,Yes,Chicago Botanic Garden,,"Urban Farm, Ornamental / Beautification, Habitat / Conservation / Prairie, Demo / Training / Program",,No,,,,2600 West 26th Place,Yes,No,No,41.8447966,-87.6903326,2600 West 26th Place,Private,Cook County,https://www.chicagobotanic.org/windycityharvest/rodeo.php,,Yes,"Located at 2600 S. Washtenaw Avenue, very near Windy City Harvest's Arturo Velasquez Institute headquarters, this nearly two-acre site is owned by Cook County. It is a major training, commercial crop, and composting production site for Windy City Harvest, which sells the produce grown here to Midwest Foods. Rodeo Farm is a training site for Apprentices and Windy City Harvest Corps employees.",12,SOUTH LAWNDALE,,http://www.chicagobotanic.org/sites/default/files/images/urban_ag/rodeo.jpg,Chicago
Windy City Harvest McCormick Place Rooftop Farm,Yes,Chicago Botanic Garden,,"Urban Farm, Ornamental / Beautification, Habitat / Conservation / Prairie, Rooftop, Demo / Training / Program, Restaurant / Catering Garden",,No,,,,2301 S. Lake Shore Drive,Yes,No,No,41.8523626,-87.6126404,2301 S. Lake Shore Drive,Private,SAVOR Chicago,https://www.chicagobotanic.org/urbanagriculture/apprenticeship/farms,,Yes,"Windy City Harvest runs the 20,000-square-foot rooftop garden at McCormick Place in collaboration with Savor?Chicago, the food service operation for McCormick Place. This experimental and commercial production location is testing the feasibility of growing herbs and greens in raised beds with a lightweight soil mix that formerly supported only sedum plants. The farm includes a microgreens operation, beekeeping, and vermicomposting. If the rooftop garden is as successful as expected, this project can be proof-of-concept for a whole new dimension of rooftop food growing. Produce grown on this site is sold directly to Savor?Chicago?s chef for convention food service.",2,NEAR SOUTH SIDE,,http://www.chicagobotanic.org/sites/default/files/images/mccormick_place_roof.jpg,Chicago
Roosevelt Square Farm,,Growing Power,,Urban Farm,,No,,,,Washburne & Loomis,Yes,No,No,41.866087,-87.661535,Washburne & Loomis,,,http://www.growingpower.org/chicago_projects.htm,,,,2,NEAR WEST SIDE,,,Chicago
"Loyola University Chicago, Rosemarie Rochetta Wessies Rooftop Garden",Yes,,,"School Garden, Urban Farm, Rooftop, Demo / Training / Program",On site water source,Yes,Compost System,,,"Loyola University Chicago, Lakeshore Campus,Quinlan LSB, 1032 W. Sheridan Road",Yes,No,No,41.9985084,-87.6577578,"Loyola University Chicago, Lakeshore Campus,Quinlan LSB, 1032 W. Sheridan Road",Private,,http://luc.edu/sustainability/initiatives/urban-agriculture/index.shtml,https://m.facebook.com/LoyolaIES/,Yes,"Rooftop Garden, IES/School of Biology Research Terrace",49,ROGERS PARK,Kevin Erickson,,Chicago
SkyyGreens,,,,Urban Farm,,No,,,,"1400 W 46th St, Ste 002",Yes,No,No,41.810768,-87.660576,"1400 W 46th St, Ste 002",,,http://skyygreens.com/index.html,,,,3,NEW CITY,,,Chicago
The Pie Patch - A Pick Your Own Organic Farm,,Other,,Urban Farm,,No,,,,"5041 S Laflin St, Chicago, IL 60609, USA",Yes,No,No,41.8018896,-87.6623254,"5041 S Laflin St, Chicago, IL 60609, USA",,Su Casa Catholic Worker,http://www.thepiepatchfarm.com,https://www.facebook.com/thepiepatchicago?fref=ts,Yes,"The Pie Patch is a pick-your-own farm, growing perennial fruits and annual vegetables traditionally used in pies: strawberries, apples, pears, plums, raspberries, rhubarb, sweet squash and pumpkin, sweet potatoes and concord grapes. 

We believe in:
-growing to organic standards and incorporating some biodynamic principles
-cultivating habitat and forage for pollinators
-maintaining healthy soil through composting, no-till techniques and planting to build the soil, not take away from it
-affordable, healthy food for our neighborhood
-our community",16,NEW CITY,312-369-9009,http://growinghomeinc.org/wp-content/uploads/2011/09/P1010057.jpg,Chicago
The Edible Gardens at Lincoln Park Zoo,,,,Urban Farm,,No,,,,1947 N. Stockton Dr.,Yes,No,No,41.9173937,-87.6342309,1947 N. Stockton Dr.,,,http://www.lpzoo.org/events/calendar/edible-garden,,,,43,LINCOLN PARK,,,Chicago
The Plant Chicago,,,,"Urban Farm, Restaurant / Catering Garden",,No,,,,1400 W 46th St,Yes,No,No,41.810768,-87.660576,1400 W 46th St,,,http://www.plantchicago.com/farms/,,,,3,NEW CITY,,,Chicago
True Nature Foods,,,,"Urban Farm, Rooftop",,No,,,,6034 N Broadway St,Yes,No,No,41.9919444,-87.6606757,6034 N Broadway St,,,http://www.truenaturefoods.com/greenroof.php,,,,48,EDGEWATER,,,Chicago
Uncommon Ground Organic Rooftop Farm,Yes,,,"Urban Farm, Rooftop, Restaurant / Catering Garden, Ornamental / Beautification",On site water source,No,,,,1401 W Devon Ave,Yes,No,No,41.9979499,-87.6656012,1401 W Devon Ave,Private,,http://www.uncommonground.com/roof-top-farm,https://www.facebook.com/UncommonGroundChicago?pnref=story,,"Uncommon Ground is host to the nation's first certified organic rooftop farm.  Each year we grow a diversity of annual vegetables and herbs.  Everything we grow on the roof ends up on the menu!  For more information, check out our website's rooftop farm report and resources pages.",40,EDGEWATER,773-465-9801,http://www.uncommonground.com/filebin/images/uncommon%20ground%20organic%20roof%20top%20farm7.2.2010.jpg,Chicago
Urban Aggies,Yes,,,Urban Farm,,No,,,,4448 S State St,Yes,No,No,41.8132793,-87.6264808,4448 S State St,,Brinshore Michaels,http://urbanaggies.com,https://www.facebook.com/UrbanAggies/info,,,3,GRAND BOULEVARD,,,Chicago
Urban Canopy,,,,"Urban Farm, Rooftop",,No,,,,1400 W 46th St,Yes,No,No,41.810768,-87.660576,1400 W 46th St,,,http://www.theurbancanopy.org,https://www.facebook.com/TheUrbanCanopy,,,3,NEW CITY,,,Chicago
Urban Farm South,,,,Urban Farm,,No,,Greenhouse,,2622 E 83 St,Yes,No,No,41.7445399,-87.5602856,2622 E 83 St,,,http://www.localharvest.org/urban-farm-south-M17491,,,,7,SOUTH CHICAGO,,,Chicago
Urban Garden Lab at Gallery 37,Yes,Chicago Botanic Garden,,"Urban Farm, Demo / Training / Program, Restaurant / Catering Garden",,No,,,,66 E. Randolph St.,Yes,No,No,41.8846037,-87.6251204,66 E. Randolph St.,City of Chicago,After School Matters,http://www.chicagobotanic.org/urbanagriculture/youthfarm/farms,https://www.facebook.com/media/set/?set=a.10151704979474773.1073741864.231403389772&type=3,Yes,"After receiving stipend support for Youth Farm participants for many years from After School Matters, the Chicago Botanic Garden expanded this partnership to the Urban Garden Lab at Gallery 37 in Chicago?s Loop. The street-level Urban Garden Lab hosts year-round programming including aquaponics, hydroponics, and aeroponics, while additional rooftop garden space (Farm 37) features intensive small-scale growing in traditional containers as well as vertical garden options. Produce grown at Farm 37 and in the Urban Garden Lab is used in ASM?s culinary programs and can be sampled on Fridays during the summer at the pop-up rooftop caf‚!",42,LOOP,,http://www.chicagobotanic.org/sites/default/files/styles/slideshow_content2breakpoints_theme_cbg_custom_normal_1x/public/images/urban_ag_slideshow6.jpg?itok=io7k9d56,Chicago
